name	type	units	low_cutoff	high_cutoff	reference	sampling_frequency	description
LAD_1	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAD_2	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAD_3	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAD_4	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAF_1	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAF_2	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAF_3	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAF_4	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAF_5	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAF_6	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAF_7	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAF_8	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAI_10	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAI_11	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAI_12	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAI_7	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAI_8	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LAI_9	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LPD_1	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LPD_2	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LPD_3	SEEG	uV	0.1	1000	n/a	5000	nonsoz
LPD_4	SEEG	uV	0.1	1000	n/a	5000	nonsoz
